Time,Kraken,Bitstamp,Bitfinex,Bitflyer,Itbit
2020-03-14 23:02:47 , 5207.6 , 5203.27 ,  , 5255.9 , 5209.25
2020-03-14 23:02:49 , 5204.2 , 5203.27 ,  , 5255.9 , 5209.25
2020-03-14 23:02:52 , 5204.2 , 5203.27 , 5241.1 , 5255.9 , 5209.25
2020-03-14 23:02:54 , 5204.2 , 5203.27 ,  , 5255.9 , 5209.25
2020-03-14 23:02:56 , 5204.2 , 5203.27 ,  , 5255.9 , 5209.25
2020-03-14 23:02:58 , 5204.2 , 5203.27 , 5247.8 , 5255.9 , 5209.25
2020-03-14 23:03:00 , 5204.2 , 5203.27 ,  , 5255.9 , 5209.25
2020-03-14 23:03:01 , 5204.2 , 5203.27 ,  , 5255.9 , 5209.25
2020-03-14 23:03:03 , 5204.2 , 5203.27 , 5241.1 , 5255.9 , 5209.25
2020-03-14 23:03:05 , 5204.2 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:06 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:08 , 5207.9 , 5196.21 , 5247.8 , 5255.9 , 5209.25
2020-03-14 23:03:10 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:11 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:14 , 5207.9 , 5196.21 , 5241.1 , 5255.9 , 5209.25
2020-03-14 23:03:16 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:17 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:20 , 5207.9 , 5196.21 , 5239.1 , 5255.9 , 5209.25
2020-03-14 23:03:21 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:23 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:25 , 5207.9 , 5196.21 , 5239.1 , 5255.9 , 5209.25
2020-03-14 23:03:27 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:28 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:30 , 5207.9 , 5196.21 , 5235.3 , 5255.9 , 5209.25
2020-03-14 23:03:32 , 5207.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:33 , 5198.9 , 5196.21 ,  , 5255.9 , 5209.25
2020-03-14 23:03:36 , 5198.9 , 5196.21 , 5239.1 , 5255.9 , 5205.75
2020-03-14 23:03:38 , 5198.9 , 5196.21 ,  , 5255.9 , 5205.75
2020-03-14 23:03:40 , 5198.9 , 5196.21 , 5234.5 , 5255.9 , 5205.75
